ctau,m,lam121,BrP,BrD,Br,Br_charged
8.669057599376208,0.5384615384615384,0.41246263829013524,9.388322354889601e-05,1.0,9.388322354889601e-05,0.0
6.845541158181556,0.5384615384615384,0.46415888336127786,0.00011888887967560129,1.0,0.00011888887967560129,0.0
5.405597230283678,0.5384615384615384,0.5223345074266842,0.00015055375208374518,1.0,0.00015055375208374518,0.0
4.268542214683386,0.5384615384615384,0.5878016072274912,0.0001906506407247648,1.0,0.0001906506407247648,0.0
3.3706641213403805,0.5384615384615384,0.6614740641230149,0.0002414239306254187,1.0,0.0002414239306254187,0.0
2.6616526316195843,0.5384615384615384,0.7443803013251689,0.0003057148184569347,1.0,0.0003057148184569347,0.0
2.101780087358653,0.5384615384615384,0.8376776400682918,0.00038711965921065146,1.0,0.00038711965921065146,0.0
1.6596754524384956,0.5384615384615384,0.9426684551178852,0.0004901901122882904,1.0,0.0004901901122882904,0.0
1.3105665164468212,0.5384615384615384,1.0608183551394483,0.0006206859921620734,1.0,0.0006206859921620734,0.0
1.0348918467812347,0.5384615384615384,1.1937766417144364,0.0007858944958512681,1.0,0.0007858944958512681,0.0
0.8172047134531931,0.5384615384615384,1.3433993325989002,0.0009950329011168952,1.0,0.0009950329011168952,0.0
0.6453075708028904,0.5384615384615384,1.5117750706156623,0.0012597560307215858,1.0,0.0012597560307215858,0.0
0.5095685990061029,0.5384615384615384,1.7012542798525891,0.0015947948889639123,1.0,0.0015947948889639123,0.0
0.4023820095121064,0.5384615384615384,1.9144819761699576,0.0020187590154151576,1.0,0.0020187590154151576,0.0
0.31774187399852194,0.5384615384615384,2.1544346900318834,0.0025551423454854903,1.0,0.0025551423454854903,0.0
0.25090559743092883,0.5384615384615384,2.424462017082328,0.0032335807047278483,1.0,0.0032335807047278483,0.0
0.19812817879479155,0.5384615384615384,2.728333376486768,0.004091418302385421,1.0,0.004091418302385421,0.0
0.15645236947472735,0.5384615384615384,3.07029062975785,0.005175650219534948,1.0,0.005175650219534948,0.0
0.12354297133881541,0.5384615384615384,3.455107294592218,0.006545316855976399,1.0,0.006545316855976399,0.0
0.09755598984193618,0.5384615384615384,3.8881551803080874,0.008274432669293973,1.0,0.008274432669293973,0.0
0.07703531047459762,0.5384615384615384,4.3754793750741845,0.010455531972553946,1.0,0.010455531972553946,0.0
0.06083110908446361,0.5384615384615384,4.923882631706739,0.01320390358828076,1.0,0.01320390358828076,0.0
0.04803542440016682,0.5384615384615384,5.541020330009492,0.01666255520882748,1.0,0.01666255520882748,0.0
0.03793128272740075,0.5384615384615384,6.235507341273912,0.021007884498546434,1.0,0.021007884498546434,0.0
0.029952524148844868,0.5384615384615384,7.017038286703826,0.02645591887333834,1.0,0.02645591887333834,0.0
0.02365207919106437,0.5384615384615384,7.896522868499725,0.03326879488068638,1.0,0.03326879488068638,0.0
0.01867691842198063,0.5384615384615384,8.886238162743403,0.041760851413311706,1.0,0.041760851413311706,0.0
0.014748271343227379,0.5384615384615384,10.0,0.052303278835585706,1.0,0.052303278835585706,0.0
89.0519470777236,0.5512820512820513,0.1,5.470977120403049e-06,1.0,5.470977120403049e-06,0.0
70.32007365836718,0.5512820512820513,0.11253355826007651,6.928326857706925e-06,1.0,6.928326857706925e-06,0.0
55.528406975788165,0.5512820512820513,0.12663801734674032,8.773879575102398e-06,1.0,8.773879575102398e-06,0.0
43.84813355356709,0.5512820512820513,0.14251026703029981,1.1111041169713047e-05,1.0,1.1111041169713047e-05,0.0
34.624778934677295,0.5512820512820513,0.160371874375133,1.4070760597815158e-05,1.0,1.4070760597815158e-05,0.0
27.341535867442673,0.5512820512820513,0.18047217668271703,1.7818865458513145e-05,1.0,1.7818865458513145e-05,0.0
21.590306323716646,0.5512820512820513,0.20309176209047358,2.2565350821819865e-05,1.0,2.2565350821819865e-05,0.0
17.04883476231428,0.5512820512820513,0.22854638641349906,2.8576141117988787e-05,1.0,2.8576141117988787e-05,0.0
13.46265135818878,0.5512820512820513,0.2571913809059345,3.6187983078850954e-05,1.0,3.6187983078850954e-05,0.0
