,nev,E,ctau,m,lam121,Br,cos
10,0.0003752662035635631,1166.760716081662,32101.90791288156,0.5,0.1274274985703133,9.186135133438066e-06,0.7000000000000001
10,0.00035323960317647175,1166.760716081662,32101.90791288156,0.5,0.1274274985703133,9.186135133438066e-06,0.9
11,0.0021043956560355386,1166.760716081662,12175.259124497576,0.5,0.206913808111479,2.4220267315918135e-05,-0.9
11,0.0023069716449296796,1166.760716081662,12175.259124497576,0.5,0.206913808111479,2.4220267315918135e-05,-0.7
11,0.0024520330831344166,1166.760716081662,12175.259124497576,0.5,0.206913808111479,2.4220267315918135e-05,-0.5
11,0.002579323099862153,1166.760716081662,12175.259124497576,0.5,0.206913808111479,2.4220267315918135e-05,-0.2999999999999999
11,0.0026857910564062233,1166.760716081662,12175.259124497576,0.5,0.206913808111479,2.4220267315918135e-05,-0.0999999999999999
11,0.0027466724442259324,1166.760716081662,12175.259124497576,0.5,0.206913808111479,2.4220267315918135e-05,0.0999999999999999
11,0.0027218526955118073,1166.760716081662,12175.259124497576,0.5,0.206913808111479,2.4220267315918135e-05,0.3000000000000001
11,0.002676567154291353,1166.760716081662,12175.259124497576,0.5,0.206913808111479,2.4220267315918135e-05,0.5000000000000001
11,0.00260832294831554,1166.760716081662,12175.259124497576,0.5,0.206913808111479,2.4220267315918135e-05,0.7000000000000001
11,0.002455401456534184,1166.760716081662,12175.259124497576,0.5,0.206913808111479,2.4220267315918135e-05,0.9
12,0.011636878532823539,1166.760716081662,4617.698585110533,0.5,0.3359818286283781,6.385785825269596e-05,-0.9
12,0.01335535943305455,1166.760716081662,4617.698585110533,0.5,0.3359818286283781,6.385785825269596e-05,-0.7
12,0.014887243167173339,1166.760716081662,4617.698585110533,0.5,0.3359818286283781,6.385785825269596e-05,-0.5
12,0.0164684766617816,1166.760716081662,4617.698585110533,0.5,0.3359818286283781,6.385785825269596e-05,-0.2999999999999999
12,0.01803852898267731,1166.760716081662,4617.698585110533,0.5,0.3359818286283781,6.385785825269596e-05,-0.0999999999999999
12,0.018979621456922367,1166.760716081662,4617.698585110533,0.5,0.3359818286283781,6.385785825269596e-05,0.0999999999999999
12,0.018883192954234303,1166.760716081662,4617.698585110533,0.5,0.3359818286283781,6.385785825269596e-05,0.3000000000000001
12,0.01858591975760015,1166.760716081662,4617.698585110533,0.5,0.3359818286283781,6.385785825269596e-05,0.5000000000000001
12,0.018118884569769917,1166.760716081662,4617.698585110533,0.5,0.3359818286283781,6.385785825269596e-05,0.7000000000000001
12,0.017059851837962867,1166.760716081662,4617.698585110533,0.5,0.3359818286283781,6.385785825269596e-05,0.9
13,0.04999208075553193,1166.760716081662,1751.3500127506925,0.5,0.5455594781168515,0.0001683532842426,-0.9
13,0.061953897675168006,1166.760716081662,1751.3500127506925,0.5,0.5455594781168515,0.0001683532842426,-0.7
13,0.07561922789184565,1166.760716081662,1751.3500127506925,0.5,0.5455594781168515,0.0001683532842426,-0.5
13,0.09306488813602898,1166.760716081662,1751.3500127506925,0.5,0.5455594781168515,0.0001683532842426,-0.2999999999999999
13,0.1148422463808327,1166.760716081662,1751.3500127506925,0.5,0.5455594781168515,0.0001683532842426,-0.0999999999999999
13,0.12989758115806585,1166.760716081662,1751.3500127506925,0.5,0.5455594781168515,0.0001683532842426,0.0999999999999999
13,0.1305955975894598,1166.760716081662,1751.3500127506925,0.5,0.5455594781168515,0.0001683532842426,0.3000000000000001
13,0.12884721929974557,1166.760716081662,1751.3500127506925,0.5,0.5455594781168515,0.0001683532842426,0.5000000000000001
13,0.1257286363692694,1166.760716081662,1751.3500127506925,0.5,0.5455594781168515,0.0001683532842426,0.7000000000000001
13,0.1184391567605859,1166.760716081662,1751.3500127506925,0.5,0.5455594781168515,0.0001683532842426,0.9
14,0.15497913741821914,1166.760716081662,664.2328013898345,0.5,0.8858667904100823,0.0004437665647362,-0.9
14,0.2088557713295687,1166.760716081662,664.2328013898345,0.5,0.8858667904100823,0.0004437665647362,-0.7
14,0.2856256838589286,1166.760716081662,664.2328013898345,0.5,0.8858667904100823,0.0004437665647362,-0.5
14,0.41364546924250223,1166.760716081662,664.2328013898345,0.5,0.8858667904100823,0.0004437665647362,-0.2999999999999999
14,0.6446674114597426,1166.760716081662,664.2328013898345,0.5,0.8858667904100823,0.0004437665647362,-0.0999999999999999
14,0.867054721339718,1166.760716081662,664.2328013898345,0.5,0.8858667904100823,0.0004437665647362,0.0999999999999999
14,0.8955955770788331,1166.760716081662,664.2328013898345,0.5,0.8858667904100823,0.0004437665647362,0.3000000000000001
14,0.8891392988274355,1166.760716081662,664.2328013898345,0.5,0.8858667904100823,0.0004437665647362,0.5000000000000001
14,0.8697850657179134,1166.760716081662,664.2328013898345,0.5,0.8858667904100823,0.0004437665647362,0.7000000000000001
14,0.8204340676716311,1166.760716081662,664.2328013898345,0.5,0.8858667904100823,0.0004437665647362,0.9
15,0.3443213838976314,1166.760716081662,251.92292301938244,0.5,1.438449888287663,0.0011692083263157,-0.9
15,0.5068733617324588,1166.760716081662,251.92292301938244,0.5,1.438449888287663,0.0011692083263157,-0.7
15,0.7783163369135472,1166.760716081662,251.92292301938244,0.5,1.438449888287663,0.0011692083263157,-0.5
15,1.3294801468950344,1166.760716081662,251.92292301938244,0.5,1.438449888287663,0.0011692083263157,-0.2999999999999999
15,2.8343706749575936,1166.760716081662,251.92292301938244,0.5,1.438449888287663,0.0011692083263157,-0.0999999999999999
15,5.4402563344582555,1166.760716081662,251.92292301938244,0.5,1.438449888287663,0.0011692083263157,0.0999999999999999
15,6.009832495392984,1166.760716081662,251.92292301938244,0.5,1.438449888287663,0.0011692083263157,0.3000000000000001
15,6.06314620912398,1166.760716081662,251.92292301938244,0.5,1.438449888287663,0.0011692083263157,0.5000000000000001
15,5.970324347622453,1166.760716081662,251.92292301938244,0.5,1.438449888287663,0.0011692083263157,0.7000000000000001
15,5.650910361767237,1166.760716081662,251.92292301938244,0.5,1.438449888287663,0.0011692083263157,0.9
16,0.4944771781764765,1166.760716081662,95.54655989562087,0.5,2.3357214690901213,0.0030769062600776,-0.9
16,0.8274274876011264,1166.760716081662,95.54655989562087,0.5,2.3357214690901213,0.0030769062600776,-0.7
16,1.4794693151719953,1166.760716081662,95.54655989562087,0.5,2.3357214690901213,0.0030769062600776,-0.5
16,3.0705590826748965,1166.760716081662,95.54655989562087,0.5,2.3357214690901213,0.0030769062600776,-0.2999999999999999
16,9.001739548625316,1166.760716081662,95.54655989562087,0.5,2.3357214690901213,0.0030769062600776,-0.0999999999999999
16,29.657342618804897,1166.760716081662,95.54655989562087,0.5,2.3357214690901213,0.0030769062600776,0.0999999999999999
16,38.2036155415588,1166.760716081662,95.54655989562087,0.5,2.3357214690901213,0.0030769062600776,0.3000000000000001
16,40.10739013032694,1166.760716081662,95.54655989562087,0.5,2.3357214690901213,0.0030769062600776,0.5000000000000001
16,40.155187282617234,1166.760716081662,95.54655989562087,0.5,2.3357214690901213,0.0030769062600776,0.7000000000000001
16,38.34257885711285,1166.760716081662,95.54655989562087,0.5,2.3357214690901213,0.0030769062600776,0.9
17,0.34443007290202104,1166.760716081662,36.237850047433305,0.5,3.792690190732246,0.0080720781122759,-0.9
17,0.7301782386042611,1166.760716081662,36.237850047433305,0.5,3.792690190732246,0.0080720781122759,-0.7
17,1.6778027937818538,1166.760716081662,36.237850047433305,0.5,3.792690190732246,0.0080720781122759,-0.5
17,4.658845020888924,1166.760716081662,36.237850047433305,0.5,3.792690190732246,0.0080720781122759,-0.2999999999999999
17,20.487759708375137,1166.760716081662,36.237850047433305,0.5,3.792690190732246,0.0080720781122759,-0.0999999999999999
17,125.12076433703551,1166.760716081662,36.237850047433305,0.5,3.792690190732246,0.0080720781122759,0.0999999999999999
17,214.60390162013033,1166.760716081662,36.237850047433305,0.5,3.792690190732246,0.0080720781122759,0.3000000000000001
17,246.46068969493336,1166.760716081662,36.237850047433305,0.5,3.792690190732246,0.0080720781122759,0.5000000000000001
17,256.762478294551,1166.760716081662,36.237850047433305,0.5,3.792690190732246,0.0080720781122759,0.7000000000000001
17,250.53051074706875,1166.760716081662,36.237850047433305,0.5,3.792690190732246,0.0080720781122759,0.9
18,0.043636126611375704,1166.760716081662,13.743893840812635,0.5,6.158482110660261,0.0210057415054879,-0.9
18,0.1688350545342831,1166.760716081662,13.743893840812635,0.5,6.158482110660261,0.0210057415054879,-0.7
18,0.7082554011327891,1166.760716081662,13.743893840812635,0.5,6.158482110660261,0.0210057415054879,-0.5
18,3.59215484423945,1166.760716081662,13.743893840812635,0.5,6.158482110660261,0.0210057415054879,-0.2999999999999999
18,30.324930860324027,1166.760716081662,13.743893840812635,0.5,6.158482110660261,0.0210057415054879,-0.0999999999999999
18,381.058832137576,1166.760716081662,13.743893840812635,0.5,6.158482110660261,0.0210057415054879,0.0999999999999999
