,nev,E,ctau,m,lam121,Br,cos
7,0.031247898219368193,1166.760716081662,9979.492185825377,0.5,0.228546386413499,2.9549244957069895e-05,-0.7
7,0.03278924008810374,1166.760716081662,9979.492185825377,0.5,0.228546386413499,2.9549244957069895e-05,-0.5
7,0.034034276642414575,1166.760716081662,9979.492185825377,0.5,0.228546386413499,2.9549244957069895e-05,-0.2999999999999999
7,0.03521565977594834,1166.760716081662,9979.492185825377,0.5,0.228546386413499,2.9549244957069895e-05,-0.0999999999999999
7,0.035583824266500676,1166.760716081662,9979.492185825377,0.5,0.228546386413499,2.9549244957069895e-05,0.0999999999999999
7,0.03520312978560703,1166.760716081662,9979.492185825377,0.5,0.228546386413499,2.9549244957069895e-05,0.3000000000000001
7,0.034635700297263365,1166.760716081662,9979.492185825377,0.5,0.228546386413499,2.9549244957069895e-05,0.5000000000000001
7,0.03376011413958408,1166.760716081662,9979.492185825377,0.5,0.228546386413499,2.9549244957069895e-05,0.7000000000000001
7,0.031784814959672,1166.760716081662,9979.492185825377,0.5,0.228546386413499,2.9549244957069895e-05,0.9
8,0.045063142750610054,1166.760716081662,7880.328826138438,0.5,0.2571913809059345,3.74202834070534e-05,-0.9
8,0.04911060029016568,1166.760716081662,7880.328826138438,0.5,0.2571913809059345,3.74202834070534e-05,-0.7
8,0.05182240380664996,1166.760716081662,7880.328826138438,0.5,0.2571913809059345,3.74202834070534e-05,-0.5
8,0.05409389815659535,1166.760716081662,7880.328826138438,0.5,0.2571913809059345,3.74202834070534e-05,-0.2999999999999999
8,0.05627514520485646,1166.760716081662,7880.328826138438,0.5,0.2571913809059345,3.74202834070534e-05,-0.0999999999999999
8,0.057028084121819166,1166.760716081662,7880.328826138438,0.5,0.2571913809059345,3.74202834070534e-05,0.0999999999999999
8,0.056443877135315394,1166.760716081662,7880.328826138438,0.5,0.2571913809059345,3.74202834070534e-05,0.3000000000000001
